JADWAL PERKULIAHAN SEMESTER GENAP PRODI TEKNOLOGI INFORMASI UMY 2025/2026,,,,,,,,,,,,,
SESI,JAM,SENIN,,,,,,,,,,,
Sesi 2,08.50 - 09.40,"TI201 ( A,B,C )",TI202 ( E ),TI402 ( F ),TI403 ( C ),TIUX05 ( A ),TIDA04 ( B ),TI404 ( A ),AS,,TI203 ( F ),TI406 ( E ),TI603 ( D )
,,Matematika Teknologi Informasi 2,Algoritma dan Struktur Data,Pengembangan Aplikasi Basis Data,Routing dan Keamanan Jaringan,Evaluasi Pengguna,Basis Data Awan,Keamanan Siber,,,Pemrograman Dasar,Pengujian dan Penjaminan Mutu Perangkat Lunak,Deployment Perangkat Lunak
,,Dosen : AG,Dosen : HS,Dosen : AK,Dosen : EP,Dosen : RG/WS,Dosen : TA,Dosen : CD,,,Dosen : HQ,Dosen : CO,Dosen : DP
,09.40 - 10.30,"TI201 ( A,B,C )",TI202 ( E ),TI402 ( F ),TI403 ( C ),TIUX05 ( A ),TIDA04 ( B ),TI404 ( A ),AS,,TI203 ( F ),TI406 ( E ),TI603 ( D )
,,Matematika Teknologi Informasi 2,Algoritma dan Struktur Data,Pengembangan Aplikasi Basis Data,Routing dan Keamanan Jaringan,Evaluasi Pengguna,Basis Data Awan,Keamanan Siber,,,Pemrograman Dasar,Pengujian dan Penjaminan Mutu Perangkat Lunak,Deployment Perangkat Lunak
,,Dosen : AG,Dosen : HS,Dosen : AK,Dosen : EP,Dosen : RG/WS,Dosen : TA,Dosen : CD,,,Dosen : HQ,Dosen : CO,Dosen : DP
,10.30 - 10.40,Pergantian Sesi,,,,,,,,,,,
Sesi 3,10.40 - 11.30,"TI201 ( A,B,C )",TI202 ( E ),TI402 ( F ),TI403 ( C ),TIUX05 ( A ),TIDA04 ( B ),TI404 ( A ),AS,,TI203 ( F ),TI406 ( E ),TI603 ( D )
,,Matematika Teknologi Informasi 2,Algoritma dan Struktur Data,Pengembangan Aplikasi Basis Data,Routing dan Keamanan Jaringan,Evaluasi Pengguna,Basis Data Awan,Keamanan Siber,,,Pemrograman Dasar,Pengujian dan Penjaminan Mutu Perangkat Lunak,Deployment Perangkat Lunak
,,Dosen : AG,Dosen : HS,Dosen : AK,Dosen : EP,Dosen : RG/WS,Dosen : TA,Dosen : CD,,,Dosen : HQ,Dosen : CO,Dosen : DP
11.30 - 12.20,,Istirahat/Dzuhur/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 4,12.10 - 13.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,13.10 - 13.20,Pergantian sesi,,,,,,,,,,,
Sesi 5,13.20 - 14.10,"TI405 ( D,E,F)",TI203 ( B ),TI204 ( C ),TI403 ( B ),,TI401 ( C ),TIPR05 ( A ),TW,,TI202 ( F ),,TI603 ( A )
,,Interaksi Manusia Komputer,Pemrograman Dasar,Administrasi Basis Data,Routing dan Keamanan Jaringan,,Pengembangan Desain Web,Pemrograman Internet of Things,,,Algoritma dan Struktur Data,,Deployment Perangkat Lunak
,,Dosen : RG/AG/WS,Dosen : HS,Dosen : AK,Dosen : EP,,Dosen : AS,Dosen : CD/WS,,,Dosen : HQ,,Dosen : DP
,14.10 - 15.00,"TI405 ( D,E,F)",TI203 ( B ),TI204 ( C ),TI403 ( B ),,TI401 ( C ),TIPR05 ( A ),TW,,TI202 ( F ),,TI603 ( A )
